id,question,A,B,C,D,answer
95,您是否有了解到一些以医美为投资标的的基金呢？,医疗美容,美容,是否,医疗,
96,您是否能推荐一些以自然语言处理为主要投资方向的基金？,是否,推荐,人工智能,自然,
97,您是否可以推荐一些与智慧配电网相关的基金？,智能,电网,是否,智能电网,
98,您是否可以推荐一些以美容医疗为主的基金呢？,医疗,医疗美容,美容,是否,
99,您是否可以推荐一些以蚂蚁概念群体为主的基金呢？,概念,蚂蚁,蚂蚁集团概念,集团,
100,您是否可以推荐一些以航空运输为主要投资策略的基金？,是否,航空运输,运输,航空,
101,您是否可以推荐一些以哈尔斯为主的基金呢？,可以,推荐,是否,哈尔斯,
102,您是否可以推荐一些以房屋租约为主的基金呢？,租赁,房屋租赁,房屋,是否,
103,您是否可以介绍一些与消费日用品相关的基金呢？,用品,是否,日化,日化用品,
104,您是否可以给我一些购买含氢元素的基金的建议呢？,氢能,可以,是否,购买,
105,您是否可以给我一些购买含农村复兴的基金的建议呢？,是否,乡村振兴,振兴,乡村,
106,您是否可以帮我筛选一些重仓透光材料的基金？,光学,是否,光电子,光学光电子,
107,您能否推荐一些以无线电能充电为核心投资策略的基金呢？,无线,无线充电,充电,能否,
108,您能否介绍一些重仓云数据处理的基金，以帮我了解云数据处理的投资价值？,能否,计算,云计算,介绍,
109,您能否介绍一些重仓融创服务的优质基金？,介绍,服务,融创服务,能否,
110,您能否帮我挑选一些含成渝市域经济带的基金？,经济,成渝双,能否,成渝双城经济圈,
111,你能不能给我推荐一些杨靖管理的基金或股票？,推荐,杨靖,管理,不能,
112,南方浩泰A重仓哪些股票,南方,哪些,股票,南方浩泰A,
113,哪些基金是农银汇理基金管理,农银汇,农银汇理基金,哪些,基金,
114,哪些基金是国融基金管理,基金,国融基金,国融,哪些,
115,哪些基金是国海富兰克林基金管理,哪些,富兰克林,基金,国海富兰克林基金,
116,目前红土创新基金管理的调仓频率低的基金,红土创新基金,红土,创新,基金,
117,免税板块怎么样,板块,免税板块,怎么样,免税,
118,孟夏的基金可以买吗,孟夏的,可以,基金,孟夏,
119,美股板块近期看好吗,美股,美股,板块,近期,
120,煤炭板块近期看好吗,近期,煤炭,煤炭板块,板块,
121,曼卡龙这个股票怎么样,曼卡,这个,股票,曼卡龙,
122,迈拓股份这个股票怎么样,迈拓股份,股份,这个,股票,
123,龙头股是什么,龙头股,龙头股,龙头,什么,
124,龙利得这个股票怎么样,这个,龙利,龙利得,股票,
125,刘鹏飞怎么样,怎么,刘鹏飞怎么样,怎么样,刘鹏飞,
126,列举一下由张亮管理的基金清单。,列举,管理,基金,张亮,
127,乐普(北京)医疗器械相关的基金是哪些,北京,医疗,乐普,乐普(北京)医疗器械,
128,科技板块怎么样,怎么样,科技,板块,科技板块,
129,开立医疗这个股票怎么样,医疗,开立,这个,开立医疗,
130,开立医疗相关的基金是哪些,开立医疗,开立,医疗,相关,
131,久盛电气这个股票怎么样,久盛电气,这个,电气,股票,
132,九泰科鑫A评测,泰科鑫a,评测,九泰科鑫A,泰科鑫,
133,景顺长城基金怎么样,基金,长城,景顺,景顺长城基金,
134,景顺增利C重仓哪些股票,哪些,景顺增利C,股票,景顺增,
135,京顺鑫相关的基金是哪些,基金,哪些,京顺鑫,相关,
136,焦作万方这个股票怎么样,焦作万方,焦作,这个,万方,
137,江苏长青农化相关的基金是哪些,江苏,相关,长青,江苏长青农化,
138,建信中国制造2025C怎么样,怎么样,制造,建信中国制造2025C,建信,
139,嘉实中债1-3年政策性金融债指数C重仓哪些股票,嘉实,金融债,嘉实中债1-3年政策性金融债指数C,政策性,
140,嘉实致明3个月定期开放纯债债券评测,开放,嘉实,定期,嘉实致明3个月定期开放纯债债券,
141,嘉实快线货币B重仓哪些股票,嘉实快线货币B,哪些,嘉实,货币,
142,基金市场中以深圳国有企业革新为主投资标的的有哪些？,深圳,深圳国企改革,国企,改革,
143,基金市场中以空间测量为主投资标的的有哪些？,感应,市场,基金,3D感应,
144,基础建设板块近期看好吗,基础建设,板块,建设,基础,
145,惠程科技这个股票怎么样,科技,这个,惠程,惠程科技,
146,汇添富消费评测,汇添富消费,汇添,评测,消费,
147,汇添富品牌价值A评测,汇添富品牌价值A,品牌,价值,评测,
148,汇添富均衡增长混合型重仓哪些股票,混合型,均衡,增长,汇添富均衡增长混合型,
149,汇添富均衡配置C评测,汇添富均衡配置C,均衡,评测,配置,
150,汇添富60债E重仓哪些股票,股票,汇添,哪些,汇添富60债E,
151,黄岳的基金可以买吗,基金,可以,黄岳,黄岳的,
152,皇庭B这个股票怎么样,这个,皇庭B,怎么样,股票,
153,环保板块怎么样,板块,环保,环保板块,怎么样,
154,华信新材这个股票怎么样,华信新材,这个,信新材,华信新,
155,华泰紫金信息科技主题6个月定期开放混合C评测,华泰紫金信息科技主题6个月定期开放混合C,信息,科技,华泰,
156,华泰柏瑞远见智选C评测,华泰,远见,柏瑞,华泰柏瑞远见智选C,
157,华茂这个股票怎么样,股票,这个,怎么样,华茂,
158,华富中证5年恒定久期国开债指数A重仓哪些股票,恒定,指数,华富中证5年恒定久期国开债指数A,华富中,
159,华创证券的基金可以买吗,基金,证券,华创证券,可以,
160,华宝中证智能电动汽车ETF联接C评测,华宝,华宝中证智能电动汽车ETF联接C,智能,电动,
161,华宝宝康消费品怎么样,华宝宝康消费品,华宝宝,怎么样,消费品,
162,华安添禧C怎么样,华安添禧,华安添,怎么样,华安添禧C,
163,华安强债A怎么样,华安强,华安强债,怎么样,华安强债A,
164,华安180ETF联接评测,联接,华安,etf,华安180ETF联接,
165,泓德基金管理有限公司负责管理哪些基金？,管理,有限公司,泓德基金管理有限公司,基金,
166,泓德基金的基金可以买吗,可以,泓德,泓德基金,基金,
167,恒帅股份相关的基金是哪些,相关,基金,股份,恒帅股份,
168,恒辉安防相关的基金是哪些,基金,哪些,相关,恒辉安防,
169,海南钧达汽车饰件这个股票怎么样,海南钧达汽车饰件,汽车,海南,这个,
170,海陆重工这个股票怎么样,海陆重工,重工,股票,这个,
171,海富通添鑫C怎么样,怎么样,海富通添鑫C,海富,通添鑫,
172,海富通富泽混合A怎么样,通富泽,混合,海富通富泽混合A,海富,
173,国投瑞银基金的基金可以买吗,国投,瑞银,基金,国投瑞银基金,
174,国泰价值先锋C重仓哪些股票,国泰价值先锋C,先锋,价值,国泰,
175,国寿安保薪金宝货币重仓哪些股票,薪金,货币,安保,国寿安保薪金宝货币,
176,国联安基金的基金可以买吗,国联,可以,国联安基金,基金,
177,国富100B评测,评测,国富100B,国b,b评测,
178,贵州黔源电力相关的基金是哪些,相关,贵州,贵州黔源电力,电力,
179,广东德联集团相关的基金是哪些,广东,相关,广东德联集团,集团,
180,工银湾创A重仓哪些股票,哪些,股票,工银湾创A,工银,
181,工银工业4.0怎么样,工业,怎么样,工银,工银工业4.0,
182,格林泓利A评测,评测,格林泓利A,格林泓利,格林泓,
183,甘肃靖煤相关的基金是哪些,基金,甘肃,甘肃靖煤,相关,
184,富国祥利一年C重仓哪些股票,富国祥利一年C,哪些,股票,富国祥,
185,富国高新重仓哪些股票,富国高新,股票,高新,哪些,
186,富国高新怎么样,富国,怎么样,富国高新,高新,
187,福建纳川相关的基金是哪些,福建纳川,纳川,福建,相关,
188,分析中颖电子股票,中颖电子股票,股票,分析,电子,
189,分析中国大连国际股票,中国,国际,中国大连国际,大连,
190,分析云南锡业股票,股票,云南,分析,云南锡业,
191,分析喜悦智行股票,喜悦智行,股票,分析,喜悦,
192,分析武商集团股票,武商,武商集团,集团,分析,
193,分析武汉锐科光纤激光技术股票,武汉,光纤,武汉锐科光纤激光技术,激光,
194,分析维康药业股票,药业,分析,股票,维康药业,
195,分析旺能环境股票,分析,环境,旺能环境,股票,
196,分析天茂退股票,天茂退,股票,天茂,分析,
197,分析上海科泰股票,股票,上海科泰,上海,分析,
198,分析三夫户外股票,户外,股票,分析,三夫户外,
199,分析如意集团股票,集团,如意集团,分析,如意,
200,分析南京科远自动化集团股票,南京,南京科远自动化集团,自动化,集团,
201,分析南都动力股票,动力,南都动力,股票,分析,
202,分析鲁泰A股票,鲁泰,股票,分析,鲁 泰A,
203,分析隆利科技股票,科技,隆利科技,分析,隆利,
204,分析浪潮信息股票,信息,浪潮信息,浪潮,分析,
205,分析京顺鑫股票,京顺鑫,分析京,分析,股票,
206,分析汇金科技股票,汇金科技,股票,分析,科技,
207,分析华平股票,分析,华平,分析华平,股票,
208,分析国元证券股票,股票,分析,国元证券,证券,
209,分析国风塑业股票,国风塑业,股票,分析国,分析,
210,分析大禹节水股票,股票,分析,节水,大禹节水,
211,分析北讯退股票,股票,北讯退,分析,分析北,
212,分析*st豫能股票,分析,*st豫能,股票,st,
213,分析*ST米奥(300795.SZ)股票,米奥,sz,st,*ST米奥(300795.SZ),
214,纺织服饰板块怎么样,服饰,板块,纺织,纺织服饰,
215,方正证券怎么样,方正证券,怎么样,方正,证券,
216,方正富邦富利A怎么样,富邦富,方正,方正富邦富利A,怎么样,
217,法本信息这个股票怎么样,这个,法本信息,信息,股票,
218,东吴双三角股票型A类重仓哪些股票,三角,股票,东吴双三角股票型A类,东吴,
219,东箭科技相关的基金是哪些,科技,基金,相关,东箭科技,
220,东华软件这个股票怎么样,软件,这个,东华,东华软件,
221,调节性交易是什么,交易,什么,调节性交易,调节,
222,德邦90天A怎么样,德邦90天A,邦a,怎么样,德邦,
223,大连天神娱乐相关的基金是哪些,娱乐,大连天神娱乐,大连,天神,
224,大富科技相关的基金是哪些,相关,科技,大富科技,基金,
225,大成专精特新C怎么样,大成专,怎么样,大成专精特新C,大成,
226,大成景旭纯债债券B重仓哪些股票,景旭纯,债券,大成景旭纯债债券B,大成,
227,大成惠明怎么样,惠明,大成,大成惠明,怎么样,
228,达诚基金的基金可以买吗,基金,可以,达诚,达诚基金,
229,从今年开始，科技股的整体走势如何,科技,整体,开始,今年,
230,成都银河磁体这个股票怎么样,成都,磁体,成都银河磁体,银河,
231,财信证券怎么样,财信证券,怎么样,财信,证券,
232,渤海汇金资管的基金可以买吗,基金,渤海汇金资管,金资管,渤海,
233,博云新材这个股票怎么样,股票,博云新材,博云新,这个,
234,博远基金的基金可以买吗,博远,可以,博远基金,基金,
235,博时沪港深C重仓哪些股票,博时,哪些,股票,博时沪港深C,
236,博时恒生港股通高股息率ETF重仓哪些股票,恒生,股息,博时恒生港股通高股息率ETF,港股,
237,玻纤板块怎么样,玻纤,玻纤,怎么样,板块,
238,北京神州泰岳相关的基金是哪些,神州,北京,北京神州泰岳,泰岳,
239,北京华联这个股票怎么样,北京华联,这个,华联,北京,
240,宝盈新价值评测,价值,宝盈,宝盈新价值,评测,
241,帮我看看Jeffrey Roskell,看看,jeffrey,Jeffrey Roskell,roskell,
242,帮我看看长盛基金,看看,长盛基金,基金,帮我,
243,帮我看看益民基金,益民基金,益民,看看,基金,
244,帮我看看天弘基金,天弘,天弘基金,看看,基金,
245,帮我看看诺安基金,基金,诺安基金,帮我,看看,
246,帮我看看明亚基金,明亚基金,明亚,看看,基金,
247,帮我看看恒生前海基金,恒生,基金,看看,恒生前海基金,
248,帮我看看国寿安保基金,基金,看看,安保,国寿安保基金,
249,帮我看看富国基金,基金,富国基金,帮我,看看,
250,帮我看看德邦证券资产管理,管理,证券,资产,德邦证券资产管理,
251,帮我看看博远基金,博远基金,看看,博远,基金,
252,安信资管怎么样,安信资管,怎么样,安信资,信资,
253,安信资管怎么样,安信资管,怎么样,安信资,安信资管,
254,*sttcl这个股票怎么样,sttcl,*sttcl,这个,股票,
255,*st银河这个股票怎么样,银河,*st银河,st,这个,
256,*st物业相关的基金是哪些,相关,*st物业,物业,st,
257,*ST天首这个股票怎么样,这个,股票,st,*ST天首,
258,*ST索菱(002766.SZ)这个股票怎么样,st,sz,索菱,*ST索菱(002766.SZ),
259,*ST普林相关的基金是哪些,st,*ST普林,基金,相关,
260,*ST路桥这个股票怎么样,st,*ST路桥,路桥,这个,
261,*st吉纤这个股票怎么样,st,吉纤,*st吉纤,这个,
262,ST国农这个股票怎么样,ST国农,这个,股票,st,
263,ST光一相关的基金是哪些,基金,st,ST光一,相关,
264,501205.OF重仓哪些股票,股票,501205.OF,哪些,of,
265,398001.OF怎么样,怎么样,of,398001.OF,of怎么样,
266,300增强(561990.OF)重仓哪些股票,of,300增强(561990.OF),哪些,增强,
267,300增强(561990.OF)评测,评测,of,300增强(561990.OF),增强,
268,160628.OF重仓哪些股票,哪些,of,股票,160628.OF,
269,160628.OF怎么样,怎么样,of,of怎么样,160628.OF,
270,10年地债(511270.OF)评测,of,10年地债(511270.OF),评测,地债,
271,005528.OF怎么样,of,怎么样,of怎么样,005528.OF,
272,000752.OF怎么样,000752.OF,of,of怎么样,怎么样,
