id,context,question,A,B,C,D,answer
23,【朝媒谴责美航母驶入朝鲜半岛水域】财联社10月13日电，朝中社13日发表题为《美国应负责核战略资产部署所产生的后果》的评论员文章。文章强烈谴责美军“罗纳德里根”号航母等美国舰船12日进入釜山港。文章称，美国将核动力航母战斗群派到朝鲜半岛水域表明了美国对朝核攻击的企图和实行进入了最为严重阶段，核战争爆发逐渐成为现实。朝方早已阐明与之相应的行动选择和应对方向。,根据朝中社的评论员文章，以下哪个选项是正确的?,美国派遣航母战斗群到朝鲜半岛水域的目的是进行核攻击。,美国舰船12日进入釜山港是为了维护地区的安全稳定。,朝方已经做好了与核战争爆发相关的行动准备。,朝中社对美军舰船进入釜山港表示欢迎。,A
24,【伊朗外长会见叙利亚总统及外长】财联社10月14日电，据叙利亚官方通讯社报道。当地时间13日，伊朗外长阿卜杜拉希扬抵达叙利亚首都大马士革，会见了叙利亚总统巴沙尔。双方强调支持巴勒斯坦人民的合法权利。当天伊朗外长阿卜杜拉希扬还会见了叙利亚外长梅克达德并举行了联合记者会，记者会上双方表达了对巴勒斯坦人民的支持。,伊朗外长阿卜杜拉希扬会见叙利亚总统及外长的目的是什么？,讨论叙利亚内战问题,商讨双方经济合作,强调支持巴勒斯坦人民的权利,筹划对美国的军事行动,C
25,【中国气候变化事务特使应约与欧盟气候委员举行会谈】财联社10月12日电，中国气候变化事务特使解振华应约与欧盟委员会新任气候行动委员胡克斯特拉举行视频会谈，双方围绕中欧气候变化对话交流、合作推进全球气候多边进程等议题深入交换意见。双方商定将保持密切沟通，落实中欧环境与气候高层对话成果，积极开展对话交流与务实合作，共同推动《联合国气候变化框架公约》第二十八次缔约方会议取得成功。,中国气候变化事务特使与欧盟气候委员会会谈的目的是什么?,探讨中欧气候变化对话的具体内容,讨论中欧环境与气候高层对话的成果,推动全球气候多边进程的合作,促进《联合国气候变化框架公约》第二十八次缔约方会议的成功,B
26,【梅西中国行官宣迈阿密国际11月将对阵青岛海牛、成都蓉城】财联社10月15日电，迈阿密国际官方宣布，将于今年11月展开中国行。俱乐部将对阵两支中超球队，第一场将在11月5号青岛青春足球场对阵青岛海牛，第二场11月8号对阵在凤凰山足球场对阵成都蓉城。,梅西中国行将对阵哪两支中超球队？,青岛海牛、成都蓉城,广州恒大、上海上港,北京国安、上海申花,大连人、深圳佳兆业,A
27,【荷兰首相吕特出访乌克兰表示将额外提供爱国者导弹】财联社10月14日电，荷兰首相马克吕特当地时间10月13日出访乌克兰并会见乌克兰总统泽连斯基。马克吕特来到乌克兰港口城市敖德萨，表示荷兰将额外提供爱国者导弹，以便乌克兰能够抵御俄罗斯空袭，同时将帮助乌克兰购买巡逻艇，以确保粮食出口航线的安全。,荷兰首相吕特在出访乌克兰时表示将额外提供哪种武器给乌克兰？,爱国者导弹,导弹拦截系统,坦克,导弹巡航器,A
28,【德国防部长：到2031年必须采购超过200亿欧元弹药】财联社 7月24日电，德国国防部长鲍里斯皮斯托留斯24日表示，到2031年，德国在弹药方面必须投资超过200亿欧元。他强调，如果没有弹药，即使最现代化的武器系统也是毫无用处的。德国政府官员此前警告，如果发生重大冲突，德国军方的弹药仅够维持一到两天，补充弹药库存至少需要200亿欧元。而按照北约的标准，其成员国的弹药储备应该至少能够维持30天。,根据德国防部长的表态，德国到2031年必须采购超过200亿欧元的弹药。以下哪个选项能够找到相应的佐证？,德国政府官员警告称，德国军方的弹药仅够维持一到两天。,北约成员国的弹药储备应该至少能够维持30天。,德国国防部长强调，如果没有弹药，即使最现代化的武器系统也是毫无用处的。,德国军队目前缺乏足够的弹药储备,C
29,【花旗：大众 汽车入股小鹏对后者非常利好】财联社 7月27日电，花旗称，大众汽车的入股对小鹏而言是一个非常利好的消息，来自大众与高级辅助驾驶系统软件相关的收入有可能会为小鹏带来相对较高的毛利率。未来预计小鹏G9的软件和XNGP智能辅助驾驶系统将会开放给大众。双方还可能共同开发下一代电动汽车平台和软件，并进一步丰富供应链。,小鹏汽车与大众合作，对小鹏而言的利好表现在哪一方面？,销售额的增加,软件收益的增加,供应链的丰富,电动汽车平台的开发,B
30,财联社2月24日电，有投资者问，公司topcon二合一设备验证结果如何？钙钛矿领域设备目前订单金额多少？ 京山轻机（000821.SZ）在互动平台表示，公司在TOPCon技术路线布局的PECVD和PVD二合一镀膜设备尚在验证中，具体信息请您查阅并持续关注公司披露的相关公告。,京山轻机在钙钛矿领域设备订单金额多少？,尚未公布具体订单金额,订单金额超过100万,订单金额超过500万,订单金额超过1000万,A
31,【泰凌微：公司在做星闪相关的研发投入已完成主要相关技术研发】财联社10月12日电，泰凌微接受机构调研时表示，公司在2020年就成为了第一批星闪联盟的会员，也一直紧密追踪星闪标准的进展，一直都有在做相关的研发投入，已经完成了主要的相关技术的研发，正在整合到公司的多模系统级芯片中，后续会有相关产品推出，短期内不会对公司经营带来重大影响。,泰凌微公司已经完成了主要相关技术的研发吗？,已完成并整合到公司的多模系统级芯片中,正在进行相关的研发投入,尚未开始相关技术的研发,短期内会对公司经营带来重大影响,A
32,【易纲：建设现代中央 银行（515290.SH；515290.OF）制度最重要的就是实现币值稳定和金融稳定】财联社 4月4日电，央行行长易纲在2023中国金融学术年会暨中国金融论坛年会上发表讲话称，中国式现代化对建设现代中央银行制度提出了新的要求，任务包括方方面面，概括起来，最重要的任务就是实现币值稳定和金融稳定。这两项任务实现了，就能够促进充分就业和经济增长。,中国现代中央银行建设的最重要任务是什么？,实现币值稳定和金融稳定,促进充分就业和经济增长,实现任务包括方方面面,对中国式现代化提出了新的要求,A
33,【中东地区局势紧张俄常驻联合国代表呼吁冲突方停火】财联社10月15日电，俄罗斯常驻联合国代表涅边贾当地时间10月13日在联合国安理会会议后表示，中东地区目前正处于全面战争和前所未有的人道主义灾难边缘，他呼吁冲突方立即停火。,根据以下资讯，回答停火呼吁的原因是什么？,人道主义灾难,全面战争,中东地区局势紧张,俄罗斯常驻联合国代表呼吁停火,A
34,【巴勒斯坦总统阿巴斯将于13日会见美国务卿布林肯】财联社10月12日电，据《耶路撒冷邮报》12日早间报道，巴勒斯坦官员表示，巴勒斯坦总统马哈茂德阿巴斯将于当地时间10月13日会见美国国务卿安东尼布林肯。,巴勒斯坦总统阿巴斯将于13日会见的对象是谁？,德国总统默克尔,以色列总理内塔尼亚胡,美国国务卿布林肯,俄罗斯总统普京,C
35,【葫芦娃：公司小儿肺热咳喘颗粒可用于治疗儿童支原体肺炎】财联社10月13日电，葫芦娃在互动平台表示，公司的小儿肺热咳喘颗粒（4g）被中国药学会系列期刊《现代药物与临床》及《儿童肺炎支原体肺炎中西医结合诊治专家共识（2017年制定）》推荐作为治疗儿童支原体肺炎的药物之一。此外，公司有注射阿奇霉素，可用于治疗支原体肺炎。,根据资讯，以下哪种药物被推荐作为治疗儿童支原体肺炎的药物之一？,小儿肺热咳喘颗粒（4g）,注射阿奇霉素,维生素C颗粒,儿童感冒软糖,A
36,【欧盟投资4.5亿欧元在法国建设电池超级工厂】财联社10月12日电，欧盟委员会官网发布消息称，欧洲投资银行（EIB）签署协议，将斥资4.5亿欧元建设杜埃电池超级工厂。欧洲投资银行是欧盟的贷款机构，也是世界上最大的跨国银行之一。,欧盟投资4.5亿欧元在法国建设电池超级工厂的消息来源于哪家机构？,财联社,欧洲投资银行,欧盟委员会官网,法国政府,C
37,【房地产板块持续走强 金科股份等近10股涨停】财联社 7月31日电，金科股份、 中南建设、华原地产、 天房发展、 合肥城建、 城建发展、 上实发展等近10股涨停。消息面上，北京市住建委近日抓好贯彻落实，更好满足刚性和改善性住房需求；深圳住建局近日表示更好满足居民刚性和改善性住房需求，扎实推进保交楼工作。,房地产板块近期走势如何？,房地产板块近期大幅下跌,房地产板块近期持续走强,房地产板块近期波动不大,房地产板块近期走势不确定,B
38,财联社9月25日电，有投资者问，在万物物联网的时代，工业互联网已经是趋势，公司有何布局？蜂助手在互动平台表示，物联网应用解决方案是公司未来重点发展的领域。公司坚持“物联网流量运营+IOT解决方案”两个战略发展方向，坚持以物联网流量运营的月租型业务模式为基础，持续加大物联网流量产品方案的研发投入，通过“流量运营产品、硬件方案和场景解决方案”等产品模式，持续提升物联网连接智能终端数量规模和市场份额。,以下关于蜂助手公司的布局及发展方向，哪个选项是正确的？,蜂助手主要布局在工业互联网领域,蜂助手主要布局在物联网流量运营领域,蜂助手主要布局在智能硬件制造领域,蜂助手主要布局在人工智能领域,B
39,【电视广播澄清：管理团队并未有任何变动】财联社10月13日电，电视广播在港交所公告，公司澄清近期市场对于本公司管理层变动毫无根据的传闻。公司的管理团队并未有任何变动，现任管理团队一直都得到董事局的全力支持。,电视广播公司的管理团队是否发生了变动？,是的，有新的管理团队接管了电视广播公司。,是的，电视广播公司的管理团队人员发生了一部分变动。,否，电视广播公司的管理团队一直保持不变。,否，电视广播公司的管理团队发生了多次变动。,C
40,财联社5月31日电，有投资者问，近期人民币兑美元汇率贬值是否利好公司？森麒麟在互动平台表示，汇率变化属长期存在的客观因素，人民币兑美元汇率贬值总体上有利于出口，同时，公司建立了较完善的汇率波动应对机制，在人民币兑美元汇率升值时将最大程度避免不利影响。,人民币兑美元汇率贬值是否利好公司？,是，汇率贬值有利于公司出口,是，公司已建立完善的汇率波动应对机制,否，汇率贬值会对公司产生不利影响,否，公司无法应对人民币兑美元汇率的变化,B
41,【*ST泛海：股票交易异常波动正在开展的预重整工作按监管规则披露】财联社10月15日电，*ST泛海披露股票交易异常波动公告，公司董事会确认，公司正在开展的预重整工作按监管规则披露，公司目前没有任何根据《深圳证券交易所股票上市规则》等有关规定应予以披露而未披露的其他事项或与该事项有关的筹划、商谈、意向、协议等。,根据资讯内容，*ST泛海公司正在进行的预重整工作是否符合监管规则？,是，因为公司已经披露了股票交易异常波动公告。,否，因为公司没有披露与该事项有关的筹划、商谈、意向、协议等。,是，因为公司董事会确认了预重整工作符合监管规则。,否，因为公司没有根据深圳证券交易所股票上市规则披露其他未披露的事项,A
42,【氟化工板块异动拉升中欣氟材直线涨停】财联社10月12日电，氟化工板块盘中异动拉升，中欣氟材直线涨停，联创股份大涨5%，永和股份、多氟多、金石资源、巨化股份等快速跟涨。消息面上，氟化工龙头梅兰集团第三代制冷剂主力品种R32报价，从1.45万元/吨上调至1.7万元/吨，涨幅超17%；R22上调500元/吨至2万元/吨；R134a因货源紧张暂不接单。,氟化工行业中欣氟材股价异动的原因是什么？,氟化工龙头梅兰集团上调制冷剂R32的价格,联创股份的股价大涨,永和股份、多氟多、金石资源、巨化股份等企业跟涨,氟化工行业供应紧张,A
43,【热门中概股多数下跌京东跌超2%】财联社10月14日电，热门中概股多数下跌，京东、哔哩哔哩、百度、腾讯音乐、微博跌超2%，网易、唯品会跌超1%，小鹏汽车、阿里巴巴、理想汽车小幅下跌。富途控股、爱奇艺涨超1%，蔚来小幅上涨。,以下哪家公司的股价上涨了？,京东,哔哩哔哩,腾讯音乐,富途控股,D
44,【央行邹澜：近期房地产市场出现积极变化高频数据显示重点城市交易活跃度有所上升】财联社10月13日电，近期房地产市场出现积极变化，高频数据显示重点城市交易活跃度有所上升。从信贷数据看，9月主要银行的房地产开发贷款和个人住房贷款合计较上月多增1000多亿元，保持明显回升态势。目前存量住房贷款利率调降已完成5000万笔，涉及22万亿元贷款，利率平均降幅0.73个百分点。,近期房地产市场出现的积极变化主要体现在哪方面？,交易活跃度的上升,信贷数据的下降,存量住房贷款利率的上升,个人住房贷款数量的减少,A
45,【哈尔滨铁路局公布K5133次旅客列车车辆脱轨原因】财联社10月15日电，哈尔滨铁路通报，10月15日3时50分许，黑龙江黑河地方铁路公司一施工的工程车辆在黑河市境内地方铁路孙吴北站至潮水站间倾覆侵入铁路线路，导致运行至此的K5133次旅客列车机车及机车后第1至4位车辆脱轨。哈尔滨铁路局集团公司积极配合地方铁路部门开展救援起覆，车上旅客和工作人员全部平安，已安全转运。,在哈尔滨铁路局公布的K5133次旅客列车脱轨事故中，脱轨原因是什么？,地震导致,机车故障,铁轨老化,工程车辆倾覆,D
46,"""财联社2月8日电，有投资者问，据说双洛平医保谈判失败，公司作为上市公司为什么不公告一下双洛平医保谈判失败的原因？请尽快回复？ 微芯生物（688321.SH）（688321.SH）在互动平台表示，西格列他钠已经成功进入医保，详细信息请参阅公司于2023年1月20日披露的《自愿披露关于公司产品西格列他钠新纳入《国家医保目录》的公告》。""",微芯生物是否公告了双洛平医保谈判失败的原因？,公告了,未公告,公告了西格列他钠的医保成功进入,公告了关于公司产品新进入《国家医保目录》的公告,B
47,财联社7月20日电，有投资者问，公司变压器互感器车间配置有专业的生产设备，主要用于生产自有产品使用的变压器、互感器。依据目前公司的产能利用情况，有没有对外进行销售？西力科技在互动平台表示，公司目前变压器、互感器的产能配置主要用于自有产品的配套，少量用于对外销售。,西力科技的变压器、互感器产能配置情况如何？,公司变压器、互感器的产能配置主要用于自有产品的配套,公司变压器、互感器的产能配置主要用于对外销售,公司变压器、互感器的产能配置既用于自有产品的配套，又用于对外销售,公司变压器、互感器的产能配置没有使用,A
48,【国联股份：前三季度净利润同比预增47.18%至47.91%】财联社10月13日电，国联股份公告，预计前三季度实现净利润10.05亿元至10.1亿元，同比增长47.18%至47.91%。业绩增长的主要原因是公司网上商品交易收入增长。,国联股份前三季度净利润增长的主要原因是什么？,公司网上商品交易收入增长,股票价格上涨,公司扩张了生产规模,公司进行了股权转让,A
49,财联社8月18日电，有投资者问，公司口口声声说未来智慧供热前景一片光明，可市场不买账，这是为什么？瑞纳智能在互动平台表示，当前国内经济形式复杂，但公司对国内智慧供热的总体形式看好。公司将在持续巩固现有市场的基础上，积极开拓新市场，加大技术研发投入，不断提升技术水平和产品性能，增强公司核心竞争力，争取以更好的业绩回报广大投资者。,瑞纳智能公司对于未来智慧供热前景的态度是什么？,公司对国内智慧供热的形式并不看好,公司打算放弃智慧供热市场，转向其他领域,公司将加大技术研发投入，提升技术水平和产品性能,公司认为智慧供热市场前景非常不明朗,C
50,【南华仪器：信披不准确董事长等收到广东证监局警示函】财联社10月12日电，南华仪器公告，公司近日收到广东证监局关于对公司杨耀光、梁伟明、周柳珠、伍颂颖采取出具警示函措施的决定。经查，公司2022年业绩预告与2022年年度报告中披露的相关数据相比差异较大，信息披露不准确。根据相关规定，广东证监局决定对公司董事长杨耀光、总经理梁伟明、财务总监周柳珠、董事会秘书伍颂颖采取出具警示函的行政监管措施。,南华仪器收到广东证监局警示函的原因是什么？,公司财务数据与年报相差较大,公司董事长涉嫌违法行为,公司业绩预告未达到市场预期,公司信息披露不充分,A
51,【 都市丽人（02298.HK）午后再次拉升股价涨超17%】财联社 2月24日 电，都市丽人午后拉升，截至发稿，股价涨17%，报0.445港元。月内股价累计涨幅1.1倍，机构称公司受惠线下消费回暖。,都市丽人（02298.HK）股价上涨原因是什么？,公司新闻发布了利好消息,公司获得了一笔巨额投资,公司受益于线下消费回暖,公司宣布并购了一家竞争对手,C
52,"2023年8月3日，财联社电，浩通科技高管余志灏提出减持计划，因为个人资金需求,持股人原持股份1590000股，减持上市公司股份不超过97500股，计划减持股份比例不超过公司股份总数的0.09%,减持日期至2023年12月29日",浩通科技高管余志灏的减持计划是基于以下哪个原因？,个人资金需求,公司股份总数超过预期,股价下跌导致减持,公司业绩下滑导致减持,A
53,财联社7月18日电，有投资者问，董秘，电声领域，公司以人工智能及无线音频为突破口，持续提升语音交互及物联网等产品开发能力。公司与小米、华为等知名企业合作较为顺利，均是属于公司的重要客户，在汽车领域上，公司的电声产品有与他们合作吗？或者和其他汽车公司合作？奋达科技在互动平台表示，公司暂未与小米、华为等企业在汽车领域有合作。,奋达科技在汽车领域的合作情况如何？,公司与小米、华为等企业在汽车领域有合作,公司与其他汽车公司有合作,公司暂未与小米、华为等企业在汽车领域有合作,公司在汽车领域没有任何合作,C
54,【 恒勃股份：公司目前业务暂未应用人工智能领域】财联社 6月19日电，恒勃股份在互动平台表示，公司在新能源车领域的产品应用正逐步拓宽，公司已量产应用于PHEV车型的进气系统零部件，并获得客户纯电动 汽车的冷却系统零部件订单。公司目前业务暂未应用人工智能领域。,关于恒勃股份的业务应用情况，以下哪个选项是正确的？,公司的业务已经应用人工智能领域,公司的产品已应用于传统燃油车领域,公司已经获得客户纯电动汽车的进气系统零部件订单,公司正在拓宽新能源车领域的产品应用,C
